slug,total,pass,pass_rate,last_ts
github.com-danielgonzagat-ml-agents,135,135,100.0,2025-10-02T09:58:07.570270+00:00
github.com-danielgonzagat-supervision,133,133,100.0,2025-10-02T09:58:29.069393+00:00
github.com-danielgonzagat-ai-agents-for-beginners,133,133,100.0,2025-10-02T09:58:18.765436+00:00
github.com-danielgonzagat-learnopencv,134,133,99.3,2025-10-02T09:57:51.910050+00:00
github.com-danielgonzagat-applied-ai,134,133,99.3,2025-10-02T09:57:39.688931+00:00
github.com-danielgonzagat-generative-ai-for-beginners,134,133,99.3,2025-10-02T09:57:28.050407+00:00
github.com-danielgonzagat-chinese-llm-benchmark,134,133,99.3,2025-10-02T09:57:15.482562+00:00
github.com-danielgonzagat-transformer-explainer,132,132,100.0,2025-10-02T09:57:23.748646+00:00
github.com-danielgonzagat-lmops,132,132,100.0,2025-10-02T09:57:13.975182+00:00
github.com-danielgonzagat-megaiaaa,132,132,100.0,2025-10-02T09:57:03.466331+00:00
github.com-danielgonzagat-dishtiny,132,132,100.0,2025-10-02T09:56:52.089335+00:00
github.com-danielgonzagat-mchorcrux,132,132,100.0,2025-10-02T09:56:39.533366+00:00
github.com-danielgonzagat-pytorch,128,128,100.0,2025-10-02T09:58:24.325138+00:00
github.com-danielgonzagat-tensorflow,128,128,100.0,2025-10-02T09:58:15.995779+00:00
github.com-danielgonzagat-onnxruntime,128,128,100.0,2025-10-02T09:58:07.584240+00:00
github.com-danielgonzagat-serve,128,128,100.0,2025-10-02T09:57:55.308990+00:00
github.com-danielgonzagat-leniabreeder.github.io,128,128,100.0,2025-10-02T09:57:45.205400+00:00
github.com-danielgonzagat-logicmoo_workspace,128,128,100.0,2025-10-02T09:57:34.344629+00:00
github.com-danielgonzagat-weaviate,127,127,100.0,2025-10-02T09:53:26.720702+00:00
github.com-danielgonzagat-aequitas,127,127,100.0,2025-10-02T09:53:13.467828+00:00
github.com-danielgonzagat-keras-io,104,104,100.0,2025-10-02T09:58:29.069332+00:00
github.com-danielgonzagat-copilotkit,104,104,100.0,2025-10-02T09:58:18.748745+00:00
github.com-danielgonzagat-dojo.jl,104,104,100.0,2025-10-02T09:58:07.582244+00:00
github.com-danielgonzagat-zenml,104,104,100.0,2025-10-02T09:57:51.908623+00:00
github.com-danielgonzagat-we-drawing,104,104,100.0,2025-10-02T09:57:38.683360+00:00
github.com-danielgonzagat-streamlit,104,104,100.0,2025-10-02T09:57:25.264454+00:00
github.com-danielgonzagat-penin-monorepo,104,104,100.0,2025-10-02T09:57:10.751279+00:00
github.com-danielgonzagat-mygym,104,104,100.0,2025-10-02T09:56:58.528439+00:00
github.com-danielgonzagat-langflow,104,104,100.0,2025-10-02T09:56:45.115338+00:00
github.com-danielgonzagat-deepfacelab,104,104,100.0,2025-10-02T09:56:28.022308+00:00
github.com-danielgonzagat-chroma,104,104,100.0,2025-10-02T09:56:07.877425+00:00
github.com-danielgonzagat-data-to-paper,104,104,100.0,2025-10-02T09:55:51.606339+00:00
github.com-danielgonzagat-mlflow,104,104,100.0,2025-10-02T09:55:34.663175+00:00
github.com-danielgonzagat-openvino,104,104,100.0,2025-10-02T09:55:19.820855+00:00
github.com-danielgonzagat-tldraw,104,104,100.0,2025-10-02T09:55:03.878771+00:00
github.com-danielgonzagat-cntk,104,104,100.0,2025-10-02T09:54:50.644023+00:00
github.com-danielgonzagat-ai-for-beginners,104,104,100.0,2025-10-02T09:54:35.594007+00:00
github.com-danielgonzagat-ncflow,104,104,100.0,2025-10-02T09:53:58.049826+00:00
github.com-danielgonzagat-autopoietic-nets,104,104,100.0,2025-10-02T09:53:41.098426+00:00
github.com-danielgonzagat-typia,103,103,100.0,2025-10-02T09:56:58.528487+00:00
github.com-danielgonzagat-gymnasium,103,103,100.0,2025-10-02T09:56:45.119584+00:00
github.com-danielgonzagat-did-verification-consensus-protocol,103,103,100.0,2025-10-02T09:56:28.021113+00:00
github.com-danielgonzagat-motia,103,103,100.0,2025-10-02T09:56:08.003655+00:00
github.com-danielgonzagat-real-time-voice-cloning,103,103,100.0,2025-10-02T09:55:51.619063+00:00
github.com-danielgonzagat-tfjs-core,103,103,100.0,2025-10-02T09:55:34.666567+00:00
github.com-danielgonzagat-alan-sdk-ios,103,103,100.0,2025-10-02T09:55:19.836793+00:00
github.com-danielgonzagat-generative-ai,103,103,100.0,2025-10-02T09:55:03.714881+00:00
github.com-danielgonzagat-sidekick,103,103,100.0,2025-10-02T09:54:50.645645+00:00
github.com-danielgonzagat-alpha-zero-general,103,103,100.0,2025-10-02T09:54:35.597931+00:00
github.com-danielgonzagat-cradle,103,103,100.0,2025-10-02T09:53:58.185029+00:00
