slug,repo,worm_file,ts,mode,seed,population,generations,jitter,delta_linf,caos_ratio,sr,G,ece,rho_bias,fp,nov_last,nov_global,score,hash,gate_pass
danielgonzagat-100-Days-Of-ML-Code,https://github.com/danielgonzagat/100-Days-Of-ML-Code,fusion_danielgonzagat-100-Days-Of-ML-Code_20251001_142746_666033.json,2025-10-01 14:27:46,?,,,,,0.012,1.0416666666666667,0.86,0.88,0.006,1.01,0.02,,,0.7561333333333334,,True
danielgonzagat-3d-Growing-neural-cellular-automata,https://github.com/danielgonzagat/3d-Growing-neural-cellular-automata,fusion_danielgonzagat-3d-Growing-neural-cellular-automata_20251001_142630_590013.json,2025-10-01 14:26:30,?,,,,,0.012,1.0416666666666667,0.86,0.88,0.006,1.01,0.02,,,0.7561333333333334,,True
danielgonzagat-500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,https://github.com/danielgonzagat/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,fusion_danielgonzagat-500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code_20251001_142037_237052.json,2025-10-01 14:20:37,?,,,,,0.012,1.0416666666666667,0.86,0.88,0.006,1.01,0.02,,,0.7561333333333334,,True
danielgonzagat-A2A,https://github.com/danielgonzagat/A2A,fusion_danielgonzagat-A2A_20251001_140314_194546.json,2025-10-01 14:03:14,?,,,,,0.012,1.0416666666666667,0.86,0.88,0.006,1.01,0.02,,,0.7561333333333334,,True
danielgonzagat-AGI-Alpha-Agent-v0,https://github.com/danielgonzagat/AGI-Alpha-Agent-v0,fusion_danielgonzagat-AGI-Alpha-Agent-v0_20251001_135756_876036.json,2025-10-01 13:57:56,?,,,,,0.012,1.0416666666666667,0.86,0.88,0.006,1.01,0.02,,,0.7561333333333334,,True
danielgonzagat-AGI-MAP,https://github.com/danielgonzagat/AGI-MAP,fusion_danielgonzagat-AGI-MAP_20251001_142821_701160.json,2025-10-01 14:28:21,?,,,,,0.012,1.0416666666666667,0.86,0.88,0.006,1.01,0.02,,,0.7561333333333334,,True
danielgonzagat-AGI-experiments,https://github.com/danielgonzagat/AGI-experiments,fusion_danielgonzagat-AGI-experiments_20251001_142441_481150.json,2025-10-01 14:24:41,?,,,,,0.012,1.0416666666666667,0.86,0.88,0.006,1.01,0.02,,,0.7561333333333334,,True
danielgonzagat-AGM,https://github.com/danielgonzagat/AGM,fusion_danielgonzagat-AGM_20251001_142832_712015.json,2025-10-01 14:28:32,?,,,,,0.012,1.0416666666666667,0.86,0.88,0.006,1.01,0.02,,,0.7561333333333334,,True
danielgonzagat-AGiXT,https://github.com/danielgonzagat/AGiXT,fusion_danielgonzagat-AGiXT_20251001_140251_171946.json,2025-10-01 14:02:51,?,,,,,0.012,1.0416666666666667,0.86,0.88,0.006,1.01,0.02,,,0.7561333333333334,,True
danielgonzagat-AI-Agents-and-Software-Development,https://github.com/danielgonzagat/AI-Agents-and-Software-Development,fusion_danielgonzagat-AI-Agents-and-Software-Development_20251001_142703_623932.json,2025-10-01 14:27:03,?,,,,,0.012,1.0416666666666667,0.86,0.88,0.006,1.01,0.02,,,0.7561333333333334,,True
danielgonzagat-AI-Dialogue-Memory-Based-on-Hidden-State,https://github.com/danielgonzagat/AI-Dialogue-Memory-Based-on-Hidden-State,fusion_danielgonzagat-AI-Dialogue-Memory-Based-on-Hidden-State_20251001_140116_76556.json,2025-10-01 14:01:16,?,,,,,0.012,1.0416666666666667,0.86,0.88,0.006,1.01,0.02,,,0.7561333333333334,,True
danielgonzagat-AI-For-Beginners,https://github.com/danielgonzagat/AI-For-Beginners,fusion_danielgonzagat-AI-For-Beginners_20251001_141041_641782.json,2025-10-01 14:10:41,?,,,,,0.012,1.0416666666666667,0.86,0.88,0.006,1.01,0.02,,,0.7561333333333334,,True
danielgonzagat-AI-News-Daily,https://github.com/danielgonzagat/AI-News-Daily,fusion_danielgonzagat-AI-News-Daily_20251001_142715_635295.json,2025-10-01 14:27:15,?,,,,,0.012,1.0416666666666667,0.86,0.88,0.006,1.01,0.02,,,0.7561333333333334,,True
danielgonzagat-AI-Programmer,https://github.com/danielgonzagat/AI-Programmer,fusion_danielgonzagat-AI-Programmer_20251001_142054_254994.json,2025-10-01 14:20:54,?,,,,,0.012,1.0416666666666667,0.86,0.88,0.006,1.01,0.02,,,0.7561333333333334,,True
danielgonzagat-AI-Startup,https://github.com/danielgonzagat/AI-Startup,fusion_danielgonzagat-AI-Startup_20251001_142725_645586.json,2025-10-01 14:27:25,?,,,,,0.012,1.0416666666666667,0.86,0.88,0.006,1.01,0.02,,,0.7561333333333334,,True
danielgonzagat-AIGC_Interview,https://github.com/danielgonzagat/AIGC_Interview,fusion_danielgonzagat-AIGC_Interview_20251001_142617_577080.json,2025-10-01 14:26:17,?,,,,,0.012,1.0416666666666667,0.86,0.88,0.006,1.01,0.02,,,0.7561333333333334,,True
danielgonzagat-AISurveyPapers,https://github.com/danielgonzagat/AISurveyPapers,fusion_danielgonzagat-AISurveyPapers_20251001_142054_254470.json,2025-10-01 14:20:54,?,,,,,0.012,1.0416666666666667,0.86,0.88,0.006,1.01,0.02,,,0.7561333333333334,,True
danielgonzagat-AITreasureBox,https://github.com/danielgonzagat/AITreasureBox,fusion_danielgonzagat-AITreasureBox_20251001_140314_194529.json,2025-10-01 14:03:14,?,,,,,0.012,1.0416666666666667,0.86,0.88,0.006,1.01,0.02,,,0.7561333333333334,,True
danielgonzagat-AI_CRYPTO_STARTUP,https://github.com/danielgonzagat/AI_CRYPTO_STARTUP,fusion_danielgonzagat-AI_CRYPTO_STARTUP_20251001_142318_398661.json,2025-10-01 14:23:18,?,,,,,0.012,1.0416666666666667,0.86,0.88,0.006,1.01,0.02,,,0.7561333333333334,,True
danielgonzagat-ALANN2018,https://github.com/danielgonzagat/ALANN2018,fusion_danielgonzagat-ALANN2018_20251001_142946_786782.json,2025-10-01 14:29:46,?,,,,,0.012,1.0416666666666667,0.86,0.88,0.006,1.01,0.02,,,0.7561333333333334,,True
danielgonzagat-ARC-AGI,https://github.com/danielgonzagat/ARC-AGI,fusion_danielgonzagat-ARC-AGI_20251001_142312_392186.json,2025-10-01 14:23:12,?,,,,,0.012,1.0416666666666667,0.86,0.88,0.006,1.01,0.02,,,0.7561333333333334,,True
danielgonzagat-ART,https://github.com/danielgonzagat/ART,fusion_danielgonzagat-ART_20251001_141109_669612.json,2025-10-01 14:11:09,?,,,,,0.012,1.0416666666666667,0.86,0.88,0.006,1.01,0.02,,,0.7561333333333334,,True
danielgonzagat-Absolute-Zero-Reasoner,https://github.com/danielgonzagat/Absolute-Zero-Reasoner,fusion_danielgonzagat-Absolute-Zero-Reasoner_20251001_142052_252063.json,2025-10-01 14:20:52,?,,,,,0.012,1.0416666666666667,0.86,0.88,0.006,1.01,0.02,,,0.7561333333333334,,True
danielgonzagat-AdalFlow,https://github.com/danielgonzagat/AdalFlow,fusion_danielgonzagat-AdalFlow_20251001_141908_148770.json,2025-10-01 14:19:08,?,,,,,0.012,1.0416666666666667,0.86,0.88,0.006,1.01,0.02,,,0.7561333333333334,,True
danielgonzagat-Adala,https://github.com/danielgonzagat/Adala,fusion_danielgonzagat-Adala_20251001_140013_13625.json,2025-10-01 14:00:13,?,,,,,0.012,1.0416666666666667,0.86,0.88,0.006,1.01,0.02,,,0.7561333333333334,,True
danielgonzagat-AdaptiveDiffusion,https://github.com/danielgonzagat/AdaptiveDiffusion,fusion_danielgonzagat-AdaptiveDiffusion_20251001_142356_436394.json,2025-10-01 14:23:56,?,,,,,0.012,1.0416666666666667,0.86,0.88,0.006,1.01,0.02,,,0.7561333333333334,,True
danielgonzagat-AgentDock,https://github.com/danielgonzagat/AgentDock,fusion_danielgonzagat-AgentDock_20251001_141528_928802.json,2025-10-01 14:15:28,?,,,,,0.012,1.0416666666666667,0.86,0.88,0.006,1.01,0.02,,,0.7561333333333334,,True
danielgonzagat-AgentForge,https://github.com/danielgonzagat/AgentForge,fusion_danielgonzagat-AgentForge_20251001_142002_202563.json,2025-10-01 14:20:02,?,,,,,0.012,1.0416666666666667,0.86,0.88,0.006,1.01,0.02,,,0.7561333333333334,,True
danielgonzagat-AgentGPT,https://github.com/danielgonzagat/AgentGPT,fusion_danielgonzagat-AgentGPT_20251001_142250_370012.json,2025-10-01 14:22:50,?,,,,,0.012,1.0416666666666667,0.86,0.88,0.006,1.01,0.02,,,0.7561333333333334,,True
danielgonzagat-AgentK,https://github.com/danielgonzagat/AgentK,fusion_danielgonzagat-AgentK_20251001_142528_528146.json,2025-10-01 14:25:28,?,,,,,0.012,1.0416666666666667,0.86,0.88,0.006,1.01,0.02,,,0.7561333333333334,,True
danielgonzagat-AgentPilot,https://github.com/danielgonzagat/AgentPilot,fusion_danielgonzagat-AgentPilot_20251001_142132_292224.json,2025-10-01 14:21:32,?,,,,,0.012,1.0416666666666667,0.86,0.88,0.006,1.01,0.02,,,0.7561333333333334,,True
danielgonzagat-Algoritmos-Geneticos,https://github.com/danielgonzagat/Algoritmos-Geneticos,fusion_danielgonzagat-Algoritmos-Geneticos_20251001_142948_788905.json,2025-10-01 14:29:48,?,,,,,0.012,1.0416666666666667,0.86,0.88,0.006,1.01,0.02,,,0.7561333333333334,,True
danielgonzagat-AlphaZero-jl,https://github.com/danielgonzagat/AlphaZero.jl,fusion_danielgonzagat-AlphaZero-jl_20251001_142037_237046.json,2025-10-01 14:20:37,?,,,,,0.012,1.0416666666666667,0.86,0.88,0.006,1.01,0.02,,,0.7561333333333334,,True
danielgonzagat-AlphaZero_Chess,https://github.com/danielgonzagat/AlphaZero_Chess,fusion_danielgonzagat-AlphaZero_Chess_20251001_142549_549112.json,2025-10-01 14:25:49,?,,,,,0.012,1.0416666666666667,0.86,0.88,0.006,1.01,0.02,,,0.7561333333333334,,True
danielgonzagat-Andromeda,https://github.com/danielgonzagat/Andromeda,fusion_danielgonzagat-Andromeda_20251001_142532_532032.json,2025-10-01 14:25:32,?,,,,,0.012,1.0416666666666667,0.86,0.88,0.006,1.01,0.02,,,0.7561333333333334,,True
